|=======================================================================================================================|
|     Epoch    |   Iteration  | Time Elapsed |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  | Base Learning|
|            1 |           23 |        93.37 |       0.1772 |              |       94.00% |              |       0.0100 |
|            1 |           24 |        95.60 |       0.3760 |       0.3286 |       90.00% |       86.33% |       0.0100 |
|            1 |           25 |       108.86 |       0.2953 |              |       88.00% |              |       0.0100 |
|            1 |           26 |       111.23 |       0.2462 |              |       90.00% |              |       0.0100 |
|            1 |           27 |       113.78 |       0.0835 |              |      100.00% |              |       0.0100 |
|            1 |           28 |       116.37 |       0.2072 |              |       94.00% |              |       0.0100 |
|            1 |           29 |       118.90 |       0.1574 |              |       96.00% |              |       0.0100 |
|            1 |           30 |       121.34 |       0.1016 |              |       96.00% |              |       0.0100 |
|            1 |           31 |       123.77 |       0.1622 |              |       92.00% |              |       0.0100 |
|            1 |           32 |       126.15 |       0.1642 |       0.1248 |       92.00% |       96.00% |       0.0100 |
|            2 |           33 |       139.23 |       0.0340 |              |      100.00% |              |       0.0100 |
|            2 |           34 |       141.58 |       0.1074 |              |       96.00% |              |       0.0100 |
|            2 |           35 |       144.13 |       0.1594 |              |       92.00% |              |       0.0100 |
|            2 |           36 |       146.66 |       0.2011 |              |       92.00% |              |       0.0100 |
|            2 |           37 |       149.21 |       0.0510 |              |       98.00% |              |       0.0100 |
|            2 |           38 |       151.78 |       0.1357 |              |       96.00% |              |       0.0100 |
|            2 |           39 |       154.35 |       0.3750 |              |       88.00% |              |       0.0100 |
|            2 |           40 |       156.95 |       0.1146 |       0.1558 |       96.00% |       92.67% |       0.0100 |
|            2 |           41 |       169.86 |       0.1760 |              |       92.00% |              |       0.0100 |
|            2 |           42 |       172.52 |       0.1286 |              |       96.00% |              |       0.0100 |
|            2 |           43 |       174.98 |       0.0342 |              |      100.00% |              |       0.0100 |
|            2 |           44 |       177.55 |       0.0495 |              |      100.00% |              |       0.0100 |
|            2 |           45 |       180.04 |       0.1600 |              |       96.00% |              |       0.0100 |
|            2 |           46 |       182.74 |       0.0728 |              |       98.00% |              |       0.0100 |
|            2 |           47 |       185.48 |       0.0657 |              |      100.00% |              |       0.0100 |
|            2 |           48 |       188.00 |       0.0585 |       0.0935 |       98.00% |       96.33% |       0.0100 |
|            2 |           49 |       201.21 |       0.1086 |              |       94.00% |              |       0.0100 |
|            2 |           50 |       203.82 |       0.0075 |              |      100.00% |              |       0.0100 |
|            2 |           51 |       206.34 |       0.0830 |              |       96.00% |              |       0.0100 |
|            2 |           52 |       208.94 |       0.1650 |              |       90.00% |              |       0.0100 |
|            2 |           53 |       211.34 |       0.0214 |              |      100.00% |              |       0.0100 |
|            2 |           54 |       214.10 |       0.3007 |              |       98.00% |              |       0.0100 |
|            2 |           55 |       216.44 |       0.0885 |              |       98.00% |              |       0.0100 |
|            2 |           56 |       218.82 |       0.1455 |       0.0922 |       96.00% |       96.83% |       0.0100 |
|            2 |           57 |       231.70 |       0.0160 |              |      100.00% |              |       0.0100 |
|            2 |           58 |       234.19 |       0.0789 |              |       98.00% |              |       0.0100 |
|            2 |           59 |       236.75 |       0.0289 |              |       98.00% |              |       0.0100 |
|            2 |           60 |       239.19 |       0.0898 |              |       96.00% |              |       0.0100 |
|            2 |           61 |       241.59 |       0.0487 |              |      100.00% |              |       0.0100 |
|            2 |           62 |       243.88 |       0.0688 |              |       96.00% |              |       0.0100 |
|            2 |           63 |       246.20 |       0.0263 |              |      100.00% |              |       0.0100 |
|            2 |           64 |       248.49 |       0.0196 |       0.1149 |      100.00% |       95.83% |       0.0100 |
|            3 |           65 |       261.16 |       0.0604 |              |       98.00% |              |       0.0100 |
|            3 |           66 |       263.47 |       0.0578 |              |       98.00% |              |       0.0100 |
|            3 |           67 |       265.92 |       0.0503 |              |       98.00% |              |       0.0100 |
|            3 |           68 |       268.41 |       0.3556 |              |       88.00% |              |       0.0100 |
|            3 |           69 |       270.91 |       0.0172 |              |      100.00% |              |       0.0100 |
|            3 |           70 |       273.43 |       0.0117 |              |      100.00% |              |       0.0100 |
|            3 |           71 |       275.91 |       0.3385 |              |       88.00% |              |       0.0100 |
|            3 |           72 |       278.51 |       0.1468 |       0.1789 |       94.00% |       93.50% |       0.0100 |
|            3 |           73 |       291.11 |       0.0971 |              |       94.00% |              |       0.0100 |
|            3 |           74 |       293.79 |       0.0510 |              |       98.00% |              |       0.0100 |
|            3 |           75 |       296.15 |       0.0177 |              |      100.00% |              |       0.0100 |
|            3 |           76 |       298.58 |       0.1514 |              |       98.00% |              |       0.0100 |
|            3 |           77 |       301.07 |       0.0793 |              |       98.00% |              |       0.0100 |
|            3 |           78 |       303.55 |       0.0449 |              |       98.00% |              |       0.0100 |
|            3 |           79 |       305.88 |       0.0971 |              |       94.00% |              |       0.0100 |
|            3 |           80 |       308.40 |       0.0565 |       0.0988 |       98.00% |       97.00% |       0.0100 |
|            3 |           81 |       320.97 |       0.0499 |              |      100.00% |              |       0.0100 |
|            3 |           82 |       323.40 |       0.0389 |              |      100.00% |              |       0.0100 |
|            3 |           83 |       326.02 |       0.0180 |              |      100.00% |              |       0.0100 |
|            3 |           84 |       328.72 |       0.0788 |              |       98.00% |              |       0.0100 |
|            3 |           85 |       331.12 |       0.0451 |              |       98.00% |              |       0.0100 |
|            3 |           86 |       333.95 |       0.0906 |              |       98.00% |              |       0.0100 |
|            3 |           87 |       336.26 |       0.0155 |              |      100.00% |              |       0.0100 |
|            3 |           88 |       338.65 |       0.0884 |       0.1035 |       98.00% |       96.33% |       0.0100 |
|            3 |           89 |       351.77 |       0.0285 |              |       98.00% |              |       0.0100 |
|            3 |           90 |       354.37 |       0.0105 |              |      100.00% |              |       0.0100 |
|            3 |           91 |       356.83 |       0.0051 |              |      100.00% |              |       0.0100 |
|            3 |           92 |       359.36 |       0.0809 |              |       98.00% |              |       0.0100 |
|            3 |           93 |       361.78 |       0.0263 |              |       98.00% |              |       0.0100 |
|            3 |           94 |       364.17 |       0.0274 |              |      100.00% |              |       0.0100 |
|            3 |           95 |       366.46 |       0.0581 |              |       96.00% |              |       0.0100 |
|            3 |           96 |       368.75 |       0.0387 |       0.1269 |      100.00% |       95.50% |       0.0100 |
|=======================================================================================================================|
